week,away_team,home_team,distance_miles
9,NYG,LV,2227.196377738255
9,DAL,PHI,1299.5722621524428
9,BUF,CIN,393.4204807532077
9,LAC,NYJ,2445.6570201351756
10,CAR,CHI,587.4433191651065
10,IND,NE,794.6716854161933
10,CLE,BAL,308.3229537944291
10,HOU,CIN,892.6615330660045
10,SF,JAX,2374.7061064309564
10,NO,MIN,1050.8423377114984
10,GB,PIT,496.4490270881776
10,TEN,TB,619.9309840313155
10,ATL,ARI,1592.0556275991453
10,DET,LAC,1983.361921295546
10,NYG,DAL,1370.571738469771
10,WAS,SEA,2327.2932126419314
10,NYJ,LV,2227.196377738255
10,DEN,BUF,1370.20793457147
11,CIN,BAL,424.105579675839
11,DAL,CAR,930.1828177539716
11,PIT,CLE,115.0135424528333
11,CHI,DET,237.6399358829061
11,LAC,GB,1760.895163992114
11,ARI,HOU,1015.9407861582081
11,TEN,JAX,499.3657327448417
11,LV,MIA,2181.152941222969
11,NYG,WAS,205.10666197029028
11,TB,SF,2400.7412964272676
11,NYJ,BUF,284.42942049835835
11,MIN,DEN,699.6902624658983
11,PHI,KC,1036.8042058353963
12,GB,DET,291.7559344215644
12,WAS,DAL,1184.0153729157707
12,SF,SEA,678.6320332668223
12,MIA,NYJ,1096.166173604148
12,NO,ATL,424.3632651018757
12,PIT,CIN,257.48576373029766
12,JAX,HOU,822.2735051110055
12,TB,IND,841.6336290682873
12,NE,NYG,170.75409316949222
12,CAR,TEN,340.09452301491086
12,CLE,DEN,1227.1342702817174
12,KC,LV,1143.0846482585362
12,BUF,PHI,279.57849707274295
12,BAL,LAC,2319.8646391836755
12,CHI,MIN,355.07348387153405
13,SEA,DAL,1681.5412827266096
13,DEN,HOU,877.8897060128318
13,LAC,NE,2587.146876831438
13,DET,NO,938.828086449594
13,ATL,NYJ,747.4699932160769
13,ARI,PIT,1828.6808665159058
13,IND,TEN,251.00124990585417
13,MIA,WAS,924.2468420810009
13,CAR,TB,510.2669968280597
13,SF,PHI,2522.8989880988397
13,KC,GB,504.1573320955012
13,CIN,JAX,625.9747752638008
14,NE,PIT,468.45290328005046
14,TB,ATL,415.5801648314684
14,DET,CHI,237.6399358829061
14,IND,CIN,99.29963810280903
14,JAX,CLE,769.9350112753903
14,CAR,NO,649.1262185409876
14,HOU,NYJ,1418.2050470940883
14,MIN,LV,1295.6778124674076
14,SEA,SF,678.6320332668223
14,BUF,KC,859.942270582295
14,DEN,LAC,830.9858202070983
14,PHI,DAL,1299.5722621524428
14,TEN,MIA,815.8194911848715
14,GB,NYG,751.8042634034836
15,LAC,LV,228.50832407362068
15,MIN,CIN,605.314408735512
15,PIT,IND,329.6825216812207
15,DEN,DET,1157.172151251623
15,ATL,CAR,226.50846117988175
15,CHI,CLE,308.0940009621219
15,TB,GB,1182.680461111007
15,NYJ,MIA,1096.166173604148
15,KC,NE,1239.5197685913558
15,NYG,NO,1169.649298065932
15,HOU,TEN,665.4766901292348
15,SF,ARI,653.8141400557017
15,DAL,BUF,1198.7080975197355
15,BAL,JAX,680.5327263580672
15,PHI,SEA,2379.2219496011894
16,CIN,PIT,257.48576373029766
16,BUF,LAC,2197.918972058723
16,IND,ATL,426.50453477735704
16,GB,CAR,744.7825291717253
16,CLE,HOU,1114.107774777444
16,DET,MIN,543.3889872499935
16,WAS,NYJ,205.10666197029028
16,SEA,TEN,1974.4269104438843
16,JAX,TB,171.03198720383253
16,ARI,CHI,1454.1948007312392
16,DAL,MIA,1111.2233801063446
16,NE,DEN,1761.3827634141871
16,LV,KC,1143.0846482585362
16,NYG,PHI,82.85552831922418
16,BAL,SF,2457.218035387405
17,NYJ,CLE,398.708428625572
17,DET,DAL,999.7786568341086
17,MIA,BAL,955.1440136413287
17,NE,BUF,392.6849509909291
17,ATL,CHI,587.9087222076769
17,TEN,HOU,665.4766901292348
17,LV,IND,1594.595471977871
17,CAR,JAX,340.6066631380362
17,ARI,PHI,2082.304570779359
17,NO,TB,481.24941776871407
17,SF,WAS,2440.730110722326
17,PIT,SEA,2138.0946048410683
17,LAC,DEN,830.9858202070983
17,CIN,KC,540.804902208886
17,GB,MIN,260.3690684688138
18,PIT,BAL,196.60172271238733
18,HOU,IND,865.2329423628775
18,TB,CAR,510.2669968280597
18,CLE,CIN,222.43579732997617
18,MIN,DET,543.3889872499935
18,NYJ,NE,170.75409316949222
18,ATL,NO,424.3632651018757
18,JAX,TEN,499.3657327448417
18,SEA,ARI,1113.9749420068938
18,CHI,GB,182.94125091476957
18,KC,LAC,1357.031983881056
18,DEN,LV,605.9925575019631
18,PHI,NYG,82.85552831922418
18,DAL,WAS,1184.0153729157707
18,BUF,MIA,1182.7418088317013
19,CLE,HOU,1114.107774777444
19,MIA,KC,1242.3520544398004
19,GB,DAL,937.3843050202847
19,PIT,BUF,178.42116085938977
19,PHI,TB,926.3593920892195
20,HOU,BAL,1251.777194768828
20,GB,SF,1839.2226114111843
20,TB,DET,991.9383038207155
20,KC,BUF,859.942270582295
21,KC,BAL,962.9212493165022
21,DET,SF,2092.163875677308
22,SF,KC,1507.242507128849
